"RHDI (ranking human development index, 2019)","HDI (human development index value, 2019)","LE (life expectancy at birth, years, 2019)","EYS (expected years of schooling, years, 2019)","MYS (mean years of schooling, years, 2019)",GNI (gross national income per capita 2019 (2017 PPP $),"TP (total population, millions, 2019)","TUP (total urban population, %, 2019)","RPAE (rural population with access to electricity, %, 2018)","CDEP (carbon dioxide emissions production per capita, tonnes, 2018)","RLI (red list index value, 2019)",Continent,"GDIV (gender development index value, 2019)","GIIV (gender inequality index value, 2019)","IHDI (gender inequality index value, 2019)","ILE (inequality in life expectancy, %, 2015-2020)","IE (inequality in education, %, 2019)","II (inequality in income, %, 2019)","SSP (share of seats in parliament, % held by women, 2019)","MA (median age, years, 2020)","CHE (current health expenditure, % of GDP)","GEE (government expenditure on education, % of GDP, 2013-2018)","PPP (physicians per 10000 people, 2010-2018)","HB (hospital beds per 10000 people, 2010-2019)","VE (vulnerable employment, % of total employment, 2019)","WAFI (Women with account at financial institution or with mobile money-service provider, % of female population ages 15 and older, 2017)","CDE (Carbon dioxide emissions per unit of GDP, kg per 2010 US$ of GDP)","FA (forest area, % of total land area, 2016)","FAC (forest area change, %, 1990/2016)","DMC (domestic material consumption per capita, tonnes, 2017)","SLF (skilled labour force, % of labour force, 2010-2019)","RDE (research and development expenditure, % of GDP, 2014-2018)"
1,0.9570000000000001,82.4,18.06615,12.89775,66494.25217,5.378859,82.59999999999998,100.0,8.303974438,0.93923,Europe,0.9899386579617449,0.045,0.899,3.0,2.3324,12.56175,40.82840237,39.836,10.446342,7.9761,29.164,35.3,4.906,100.0,0.10907,33.17786,-0.11528401400000002,21.82197,84.28109999999998,2.06985
2,0.9549999999999998,82.31,18.70529,12.6663305,68370.58737,4.882498,63.4,100.0,8.079187496999998,0.91522,Europe,0.981024297613543,0.09299999999999999,0.885,3.4,3.28604,14.97823,24.31192661,38.246,7.184383,3.71973,33.125,29.7,10.61,95.30703735,0.11213,11.02773,63.37634671,13.47527,85.04699999999998,1.14647
2,0.9549999999999998,83.78,16.32844,13.38081241,69393.52076,8.591361000000001,73.79999999999998,100.0,4.325015533,0.9745899999999998,Europe,0.9675128179073542,0.025,0.889,3.5,1.82879,14.93378,38.61788618,43.053,12.346322,5.11332,42.957,46.3,8.941,98.85665131,0.07974999999999999,31.83015,9.314837406,13.71868,87.31409999999998,3.37286
4,0.9490000000000001,84.86,16.92947,12.27996,62984.76553,7.436157,100.0,100.0,5.852683156,0.8306000000000001,Asia,0.9723231390489696,0.3424772727272727,0.8239999999999998,2.5,9.8,25.6,18.235152053608694,44.79,5.452899188449395,3.32259,18.941456521739127,30.19555555555556,5.717,94.7024231,0.10847000000000002,22.25322765957447,8.08988600768085,14.21924934782609,76.98,0.8609599999999998
4,0.9490000000000001,82.98999999999998,19.08309,12.77278684,54682.38057,0.339037,93.9,100.0,10.78247647,0.8631,Europe,0.9686740369265664,0.05800000000000001,0.8939999999999998,2.4,2.79474,11.73652,38.0952381,37.491,8.326290999999998,7.45988,40.778,28.3,8.108,84.16602415710528,0.13471,0.50374,213.6645888,14.88115,76.1659,2.02994
6,0.9469999999999998,81.33,16.97719,14.15168,55314.35355,83.517046,77.4,100.0,9.130913855,0.9836199999999999,Europe,0.9718804772078216,0.084,0.869,3.8,2.280957858,17.65562,31.61953728,45.744,11.246835,4.80093,42.488,80.0,5.62,99.19924927,0.19734,32.69121,1.004256836,14.67891,87.3212,3.09415
7,0.945,82.79999999999998,19.48234,12.54847,54507.80504,10.036391,87.7,100.0,4.114359145,0.9921200000000001,Europe,0.9826442554677153,0.03900000000000001,0.882,2.9,3.68669,12.98707,47.27793696,41.078,11.018746,7.66993,39.84,21.4,6.063,100.0,0.08279,68.92293,0.779804327,16.92074,87.11539999999998,3.33937
8,0.944,83.43999999999998,21.95433,12.72469119,48084.84207,25.2032,86.09999999999998,100.0,16.87759397,0.82089,Oceania,0.9762035605125556,0.09699999999999999,0.867,3.7,2.7,17.3,36.56387665,37.875,9.205948,5.27163,36.778,38.4,10.634,99.19509125,0.3366,16.25828,-2.831804998,37.93135,78.93999999999998,1.87372
8,0.944,82.28,18.48513,12.4148,57707.06867,17.097123,91.9,100.0,9.474101325,0.9402700000000002,Europe,0.9655866662196487,0.04299999999999999,0.8779999999999999,3.1,5.3671,12.21919,33.77777778,43.314,10.100835,5.4796,36.054,31.7,12.653,99.83270264,0.19052,11.17839,9.38623,13.65794,78.58419999999998,2.16374
10,0.9399999999999998,80.9,18.89342,12.61380326,58661.87084,5.771877000000002,88.0,100.0,6.051623348,0.9718899999999999,Europe,0.9825656024202176,0.038,0.883,3.6,2.90482,11.38334,39.10614525,42.298,10.108279,7.63485,40.099,26.0,4.895,100.0,0.11739,14.69921,14.70906518,15.65949,79.6615,3.06408
11,0.938,81.90999999999998,19.39712,12.82413,48511.3978,5.532159,85.4,100.0,8.50854746,0.98974,Europe,0.9899190976379476,0.04699999999999999,0.8880000000000001,3.0,2.23918,10.61751,47.0,43.128,9.206939,6.89735,38.118,36.1,9.585,99.58627319,0.19395000000000004,73.10716999999998,1.7952588599999997,24.72759,90.5192,2.77381
11,0.938,83.62,16.44088,11.62461,88155.21430999998,5.804343,100.0,100.0,7.097109353,0.85251,Asia,0.9852372575048299,0.065,0.813,2.5,11.0,25.0,23.0,42.226,4.440383,2.85435,22.936,24.9,9.666,96.31292725,0.10079,23.06065,-5.500707252,32.62553,84.0,1.94431
13,0.932,81.31999999999998,17.49843,13.24287,46070.64481,67.53016099999999,83.7,100.0,5.645373744,0.7806699999999999,Europe,0.9699238256280698,0.118,0.8560000000000001,4.1,2.73404,17.01375,28.90896456,40.467,9.631694,5.48697,28.117,24.6,12.998,96.07344055,0.13811,13.06576,13.78689705,7.840169999999999,84.36879999999998,1.72412
14,0.931,81.62999999999998,19.77438,12.05027,52084.59209,11.539326,98.0,100.0,8.679990851999998,0.98605,Europe,0.9738078064627922,0.04299999999999999,0.859,3.6,8.18013,11.38202,43.33333333,41.928,10.338669,6.54513,30.709,55.8,10.189,98.81755066,0.19049,22.58388,15.320599378871798,16.06341,85.6118,2.82119
14,0.931,82.29,18.83857,12.78207732,40798.7196,4.783062,86.59999999999998,100.0,7.329715329,0.62264,Oceania,0.9642864080198679,0.123,0.859,4.3,1.840131778,16.399999999999995,40.83333333,37.973,9.170055,6.44277,35.898,25.7,12.087,99.34078217,0.19243,38.55608,5.117003472,24.16861,82.18,1.3657
16,0.929,82.43,16.15789,13.36610479,48527.03573,37.411038,81.5,100.0,15.33159583,0.96358,North America,0.9855929026542676,0.08,0.8480000000000001,4.6,2.671,18.06,33.18284424,41.124,10.572769,4.537240624999999,26.102,25.2,10.691,99.85279846,0.34675,38.16155,-0.359084325,28.79281,91.9557,1.56625
17,0.9259999999999999,78.86,16.31039,13.41344,63825.65748,329.06491700000004,82.5,100.0,16.558666299999995,0.8326399999999998,North America,0.9935448018449421,0.20400000000000001,0.808,6.3,2.753,27.144,23.72881356,38.308,17.061269,4.96174,26.12,28.7,3.837,92.68624878,0.27445,33.92979,2.748073971,20.2919,96.4763,2.83766
18,0.922,81.54,16.09207,12.5461436,56196.89869,8.955108000000001,58.5,100.0,7.74568605,0.8942099999999998,Europe,0.963932404178508,0.069,0.857,3.7,2.91745,14.11727,38.52459016,43.483,10.396617,5.5007,51.697,72.7,7.385,98.37577057,0.16722,46.90571,2.581402703,15.77868,87.6045,3.17177
19,0.9190000000000002,82.97,16.16283,13.0348541,40186.84583,8.519373,92.5,100.0,7.667324145,0.72284,Asia,0.9733183592157604,0.10900000000000001,0.8139999999999998,3.3,5.656,23.689,23.33333333,30.484,7.407464,5.8493,46.249,29.8,8.268,93.70038605,0.22568000000000002,7.726429999999999,26.66666435,12.96762,90.3235,4.95278
19,0.9190000000000002,84.62999999999998,15.23057,12.85,42931.69575,126.860299,91.7,100.0,9.134914122,0.7755499999999999,Asia,0.977565470435392,0.09399999999999999,0.8429999999999997,2.9,4.656,16.663,14.50704225,48.358,10.935933,3.18618,24.115,129.8,8.307,98.06467438,0.23457,68.45622,0.036627814,8.95519,99.91,3.26451
19,0.9190000000000002,80.67,14.90233,12.53854,131031.5898,0.03802,14.4,100.0,4.028224743,0.99272,Europe,0.9844383119287972,0.11635897435897437,0.8033333333333333,4.438461538461539,5.892266555199999,15.380018461538462,12.0,42.148153846153846,8.281743210526317,4.982562857142858,36.052275,50.02051282051282,12.736153846153845,84.16602415710528,0.2267274358974359,43.125,6.153847621,15.197031794871792,84.27702307692306,1.461787435897436
22,0.917,81.31999999999998,17.57206,12.65874,38079.53399,2.078654,54.8,100.0,6.945588128,0.92968,Europe,1.0014085210641908,0.063,0.875,2.9,2.12184,8.675729999999998,22.30769231,44.539,8.187018,4.80289,30.861,44.3,11.196,96.93920898,0.21400999999999998,61.97001,5.056905842,13.36236,92.1087,1.94221
23,0.916,83.03,16.48165,12.21376462,43043.71057,51.225321,81.4,100.0,12.87406169,0.7015000000000001,Asia,0.9361131436640371,0.064,0.8149999999999998,3.0,8.836,20.24,16.66666667,43.734,7.603864,4.59437,23.608,124.3,19.041,94.68531036,0.32427,63.35484,-4.062676168,15.86009,85.98529999999998,4.81009
23,0.916,82.25,14.25582,12.31145,72711.67411999998,0.61573,91.2,100.0,15.85730954,0.9866100000000003,Europe,0.9759421347047923,0.065,0.8259999999999998,3.4,6.29069,18.99091,25.0,39.729,5.481074,3.95519,30.09,42.6,5.615,98.17749023,0.16658999999999996,35.67901,15.320599378871798,28.5188,79.5526,1.23562
25,0.9040000000000001,83.57,17.61613,10.25178,40974.52408,46.736782,80.59999999999998,100.0,5.744643003,0.8542799999999998,Europe,0.9858652738011704,0.07,0.783,3.0,16.86947,19.46657,41.85667752,44.858,8.873129999999998,4.20911,38.723,29.7,10.982,91.64125061,0.16162,36.93621,33.58509383,11.85811,67.6972,1.237
